age_l,age_u,male_m,male_l,male_u,female_m,female_l,female_u,both_m,both_l,both_u
0,4,0.002,0.001,0.002,0.002,0.001,0.002,0.002,0.001,0.002
5,9,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000
10,14,0.001,0.000,0.001,0.000,0.001,0.002,0.000,0.000,0.001
15,19,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.001,0.002
20,24,0.005,0.004,0.006,0.003,0.002,0.004,0.004,0.003,0.004
25,29,0.012,0.010,0.014,0.007,0.005,0.008,0.009,0.008,0.011
30,34,0.024,0.021,0.026,0.010,0.009,0.012,0.017,0.015,0.019
35,39,0.040,0.037,0.044,0.018,0.016,0.020,0.029,0.027,0.031
40,44,0.077,0.072,0.083,0.028,0.025,0.031,0.053,0.049,0.056
45,49,0.118,0.110,0.126,0.053,0.049,0.058,0.086,0.081,0.091
50,54,0.223,0.210,0.236,0.084,0.078,0.091,0.154,0.146,0.162
55,59,0.344,0.326,0.362,0.138,0.130,0.148,0.241,0.229,0.253
60,64,0.473,0.446,0.500,0.246,0.213,0.262,0.359,0.340,0.379
65,69,0.868,0.824,0.913,0.417,0.396,0.439,0.642,0.610,0.676
70,74,1.445,1.373,1.521,0.707,0.671,0.744,1.076,1.022,1.132
75,79,2.973,2.824,3.129,1.580,1.500,1.663,2.276,2.162,2.396
80,999,8.619,8.187,9.072,5.928,5.631,6.240,7.274,6.909,7.656
