variable,age_group,sex,stat,probability,quantile
p_hosp_inf,0-19,male,mean,0.001,0.5
p_hosp_inf,0-19,male,low_95,6e-4,0.025
p_hosp_inf,0-19,male,up_95,0.002,0.975
p_hosp_inf,0-19,female,mean,9e-4,0.5
p_hosp_inf,0-19,female,low_95,5e-4,0.025
p_hosp_inf,0-19,female,up_95,0.002,0.975
p_hosp_inf,0-19,total,mean,0.001,0.5
p_hosp_inf,0-19,total,low_95,5e-4,0.025
p_hosp_inf,0-19,total,up_95,0.002,0.975
p_hosp_inf,20-29,male,mean,0.006,0.5
p_hosp_inf,20-29,male,low_95,0.003,0.025
p_hosp_inf,20-29,male,up_95,0.01,0.975
p_hosp_inf,20-29,female,mean,0.005,0.5
p_hosp_inf,20-29,female,low_95,0.003,0.025
p_hosp_inf,20-29,female,up_95,0.008,0.975
p_hosp_inf,20-29,total,mean,0.005,0.5
p_hosp_inf,20-29,total,low_95,0.003,0.025
p_hosp_inf,20-29,total,up_95,0.009000000000000001,0.975
p_hosp_inf,30-39,male,mean,0.012,0.5
p_hosp_inf,30-39,male,low_95,0.006,0.025
p_hosp_inf,30-39,male,up_95,0.02,0.975
p_hosp_inf,30-39,female,mean,0.009000000000000001,0.5
p_hosp_inf,30-39,female,low_95,0.005,0.025
p_hosp_inf,30-39,female,up_95,0.015,0.975
p_hosp_inf,30-39,total,mean,0.01,0.5
p_hosp_inf,30-39,total,low_95,0.006,0.025
p_hosp_inf,30-39,total,up_95,0.017,0.975
p_hosp_inf,40-49,male,mean,0.016,0.5
p_hosp_inf,40-49,male,low_95,0.009000000000000001,0.025
p_hosp_inf,40-49,male,up_95,0.027000000000000003,0.975
p_hosp_inf,40-49,female,mean,0.013000000000000001,0.5
p_hosp_inf,40-49,female,low_95,0.006999999999999999,0.025
p_hosp_inf,40-49,female,up_95,0.022000000000000002,0.975
p_hosp_inf,40-49,total,mean,0.015,0.5
p_hosp_inf,40-49,total,low_95,0.008,0.025
p_hosp_inf,40-49,total,up_95,0.024,0.975
p_hosp_inf,50-59,male,mean,0.032,0.5
p_hosp_inf,50-59,male,low_95,0.017,0.025
p_hosp_inf,50-59,male,up_95,0.053,0.975
p_hosp_inf,50-59,female,mean,0.025,0.5
p_hosp_inf,50-59,female,low_95,0.013999999999999999,0.025
p_hosp_inf,50-59,female,up_95,0.042,0.975
p_hosp_inf,50-59,total,mean,0.027999999999999997,0.5
p_hosp_inf,50-59,total,low_95,0.015,0.025
p_hosp_inf,50-59,total,up_95,0.048,0.975
p_hosp_inf,60-69,male,mean,0.07,0.5
p_hosp_inf,60-69,male,low_95,0.037000000000000005,0.025
p_hosp_inf,60-69,male,up_95,0.11699999999999999,0.975
p_hosp_inf,60-69,female,mean,0.053,0.5
p_hosp_inf,60-69,female,low_95,0.027999999999999997,0.025
p_hosp_inf,60-69,female,up_95,0.08800000000000001,0.975
p_hosp_inf,60-69,total,mean,0.061,0.5
p_hosp_inf,60-69,total,low_95,0.032,0.025
p_hosp_inf,60-69,total,up_95,0.102,0.975
p_hosp_inf,70-79,male,mean,0.114,0.5
p_hosp_inf,70-79,male,low_95,0.061,0.025
p_hosp_inf,70-79,male,up_95,0.19,0.975
p_hosp_inf,70-79,female,mean,0.08,0.5
p_hosp_inf,70-79,female,low_95,0.043,0.025
p_hosp_inf,70-79,female,up_95,0.134,0.975
p_hosp_inf,70-79,total,mean,0.096,0.5
p_hosp_inf,70-79,total,low_95,0.051,0.025
p_hosp_inf,70-79,total,up_95,0.16,0.975
p_hosp_inf,80+,male,mean,0.314,0.5
p_hosp_inf,80+,male,low_95,0.16699999999999998,0.025
p_hosp_inf,80+,male,up_95,0.526,0.975
p_hosp_inf,80+,female,mean,0.159,0.5
p_hosp_inf,80+,female,low_95,0.085,0.025
p_hosp_inf,80+,female,up_95,0.265,0.975
p_hosp_inf,80+,total,mean,0.217,0.5
p_hosp_inf,80+,total,low_95,0.11599999999999999,0.025
p_hosp_inf,80+,total,up_95,0.363,0.975
p_icu_hosp,0-19,male,mean,0.175,0.5
p_icu_hosp,0-19,male,low_95,0.138,0.025
p_icu_hosp,0-19,male,up_95,0.22,0.975
p_icu_hosp,0-19,female,mean,0.085,0.5
p_icu_hosp,0-19,female,low_95,0.057999999999999996,0.025
p_icu_hosp,0-19,female,up_95,0.121,0.975
p_icu_hosp,0-19,total,mean,0.135,0.5
p_icu_hosp,0-19,total,low_95,0.11,0.025
p_icu_hosp,0-19,total,up_95,0.16399999999999998,0.975
p_icu_hosp,20-29,male,mean,0.122,0.5
p_icu_hosp,20-29,male,low_95,0.1,0.025
p_icu_hosp,20-29,male,up_95,0.14800000000000002,0.975
p_icu_hosp,20-29,female,mean,0.068,0.5
p_icu_hosp,20-29,female,low_95,0.051,0.025
p_icu_hosp,20-29,female,up_95,0.08900000000000001,0.975
p_icu_hosp,20-29,total,mean,0.098,0.5
p_icu_hosp,20-29,total,low_95,0.083,0.025
p_icu_hosp,20-29,total,up_95,0.114,0.975
p_icu_hosp,30-39,male,mean,0.172,0.5
p_icu_hosp,30-39,male,low_95,0.152,0.025
p_icu_hosp,30-39,male,up_95,0.193,0.975
p_icu_hosp,30-39,female,mean,0.10400000000000001,0.5
p_icu_hosp,30-39,female,low_95,0.08800000000000001,0.025
p_icu_hosp,30-39,female,up_95,0.122,0.975
p_icu_hosp,30-39,total,mean,0.141,0.5
p_icu_hosp,30-39,total,low_95,0.128,0.025
p_icu_hosp,30-39,total,up_95,0.155,0.975
p_icu_hosp,40-49,male,mean,0.243,0.5
p_icu_hosp,40-49,male,low_95,0.225,0.025
